     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
 Dxgkernel,  6036,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireTargetModeSet
 Dxgkernel,  6037,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseTargetModeSet
 Dxgkernel,  6038,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireMonitorSourceModeSet
 Dxgkernel,  6039,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseMonitorSourceModeSet
 Dxgkernel,  6040,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetNumSources
 Dxgkernel,  6041,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireFirstSource
 Dxgkernel,  6042,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireNextSource
 Dxgkernel,  6043,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseSource
 Dxgkernel,  6044,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetNumTargets
 Dxgkernel,  6045,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireFirstTarget
 Dxgkernel,  6046,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireNextTarget
 Dxgkernel,  6047,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseTarget
 Dxgkernel,  6048,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireSourceSet
 Dxgkernel,  6049,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseSourceSet
 Dxgkernel,  6050,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireTargetSet
 Dxgkernel,  6051,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseTargetSet
 Dxgkernel,  6052,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceCreateVidPn
 Dxgkernel,  6053,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceCreateVidPnFromActive
